country_code,life_expectancy,pm25,water_access,mortality,health_exp,gdp,co2_emissions,forest_area,renewable_energy,hdi
MDV,75.57037666666666,0.522208,99.46383666666667,10.521666666666668,7.65846,11740.2724029785,5.44685492617857,2.73333333333333,1.3,0.753
MEX,75.84179333333333,1.910536,98.29670333333333,15.24738888888889,5.29686,10369.5553568761,5.55151276549724,33.8588183852465,10.3,0.781
MKD,76.44058333333334,1.6175539999999997,97.70456666666666,32.1205,7.06654,6718.85826635458,6.03519124727783,39.7101506740682,17.0,0.787
MLI,61.839999999999996,1.4136380000000002,80.33027,58.07083333333334,3.82944,820.197390833912,2.00837699863848,10.896663634352,74.9,0.421
MLT,82.14717,3.6162300000000003,100.0,7.0685,9.07641,32412.2697818499,4.04295503330939,1.4375,7.4,0.905
MMR,68.84667666666667,0.771576,81.33249333333333,60.54044444444445,4.07903,1425.98954211903,2.27553718734775,44.1758847862724,58.5,0.608
MNE,76.81837333333333,3.96,98.57040333333333,38.884388888888886,8.32983,8909.6538759126,,61.4869888475836,38.7,0.841
MNG,70.82785666666666,2.87773,76.74028333333332,73.80077777777778,4.49498,4347.54610314873,21.9900522481901,9.10182513109581,2.3,0.749
MOZ,58.51853333333333,0.593096,61.29853666666667,79.56094444444444,7.90207,519.09255091362,1.01963299891114,47.0079478114906,77.5,0.465
MRT,70.18587333333333,0.0,71.35238,42.98161111111111,3.09177,1767.072710621,3.50936095196911,0.308819249054041,21.2,0.552
MUS,74.10639333333334,2.79067,99.96513,10.524,5.69508,11403.2527870674,4.71759144065688,19.3940911367051,8.9,0.806
MWI,63.234249999999996,0.700796,73.81155666666666,51.4675,6.37022,580.889816066776,0.912363411443605,24.2225286380993,70.9,0.514
MYS,74.79394666666667,0.26945199999999997,95.52772666666665,26.654055555555555,3.83991,10920.191763972,8.90793932022025,58.3295997565059,5.7,0.805
NAM,63.459720000000004,2.015728,84.67797666666667,49.542722222222224,8.39904,4731.9210318831,4.60563200671271,8.15011721264682,30.2,0.638
NER,60.57939,0.036,58.355560000000004,73.46555555555557,5.66642,561.691304349698,1.54633849399747,0.862177311123392,80.7,0.39
NGA,63.08514333333333,1.179646,74.48413666666667,58.29838888888888,2.98547,2265.15520863056,1.9483106243067,23.9250853673265,80.1,0.537
NIC,78.81211333333333,1.49043,79.37554999999999,28.721999999999998,8.50037,1958.62132892996,2.96727602956171,29.1468339704172,50.5,0.661
NLD,82.31469333333332,3.314,100.0,4.415,10.1404,53554.9007491475,10.8049675079796,10.9465399465399,8.6,0.941
NOR,82.64847333333334,2.409332,100.0,2.637111111111111,10.43808,76430.5889473338,10.9173589015194,33.3399069828592,59.8,0.961
NPL,71.34053666666667,0.31812399999999996,90.26161,60.32716666666667,4.44525,1203.14294706401,1.81658280209406,41.5907220090687,78.2,0.598
NZL,81.80124666666667,3.646572,100.0,4.106944444444444,9.50997,42747.2099299966,17.6015223329049,37.4673198891041,28.0,0.937
OMN,75.74520666666668,0.18757000000000001,87.45963333333333,34.61255555555556,3.80649,19180.1864152801,25.6115503411823,0.00807754442649435,0.0,0.841
PAK,67.03734333333334,0.023406,90.61719333333333,64.68927777777778,2.84737,1390.41690981745,2.11850387983107,4.88693441261934,45.9,0.537
PAN,79.00916,2.5109559999999997,92.56101666666666,5.820333333333334,8.13542,16477.9066285687,4.55064113160318,56.9594230250741,19.0,0.82
PER,78.28820666666667,2.26586,89.92147333333332,12.885222222222222,5.13816,7037.00803692604,2.84092388671646,56.643125,27.1,0.774
PHL,69.56442,2.00679,93.76418666666666,69.46461111111111,4.16646,3400.78949772302,2.16736056182752,23.9920179763222,26.9,0.714
PNG,66.72266333333333,0.47949200000000003,58.254723333333324,63.64227777777777,2.32534,2575.77274251891,1.12741062815004,79.2502981053747,53.2,0.562
POL,77.72300333333334,4.2864640000000005,91.04437999999999,13.975000000000001,6.46008,15874.5220531254,10.3955870432281,30.939858220901,15.6,0.88
PRT,81.29869000000001,4.0949599999999995,99.03712666666667,3.4058888888888887,9.5138,23343.3628970034,6.13398665773955,36.154994891142,28.2,0.864
PRY,75.14204000000001,2.1161079999999997,99.52969666666667,18.62011111111111,7.16082,5821.18199548637,6.48910569944274,41.2323181474956,60.1,0.746
QAT,79.07630999999999,0.393858,99.97053,30.098888888888887,3.18469,66841.3013472693,54.0088764852726,0.0,0.1,0.869
ROU,75.49047,4.260808,100.0,15.63122222222222,5.71421,12992.0326104674,6.05004798765701,30.1158292767733,23.5,0.834
RUS,73.12939,2.845744,95.47168666666666,27.953555555555557,5.64849,11447.701171875,17.0696309648986,49.7843360788722,3.2,0.839
RWA,67.67523999999999,0.5396179999999999,68.59533,56.168277777777774,6.26709,810.051420243718,0.580646539872135,11.1471422780705,81.8,0.531
SAU,77.04497666666667,0.0,99.02224666666666,30.000722222222223,5.46744,27892.8421521179,24.5645801450442,0.454484134921779,0.0,0.862
SDN,69.45512000000001,0.001238,63.281483333333334,47.777388888888886,4.57118,709.975280761719,3.0214602451141,9.92061563169165,59.4,0.521
SEN,68.71105666666666,0.122214,83.05972333333334,48.84561111111111,4.49531,1431.18128932159,1.60915584383023,42.1137485067262,36.2,0.514
SGP,83.89685333333334,0.72726,100.0,7.868555555555555,4.35299,66081.7199235165,12.1996420136234,21.9972067039106,0.9,0.945
SLB,65.77839,0.461956,72.65661666666666,94.09949999999999,4.43728,2223.66502559565,0.878394060539973,90.1643444087174,48.4,0.568
SLE,60.399923333333334,0.074744,63.33289666666667,80.75288888888889,9.12993,843.71251730417,0.840947693808749,35.3922139096703,75.4,0.457
SLV,74.16514666666667,1.168968,96.84082333333333,13.770722222222224,8.80846,4320.11671534627,1.99292289465116,28.3967181467181,19.4,0.676
SRB,75.87793666666666,2.98,94.96489666666668,24.21061111111111,8.66553,7755.632986437,,31.1253144294535,21.4,0.812
STP,71.66537666666666,1.668648,75.84976333333333,75.73005555555557,5.48079,1935.2931816596,1.17342730749044,54.7083333333333,38.6,0.608
SUR,73.03878333333334,2.5030639999999997,97.19046666666668,17.174722222222222,8.52921,6629.66775248603,6.31693981854439,94.7527036257035,14.9,0.71
SVK,77.58297333333333,4.131286,99.79763666666668,10.627722222222223,6.91965,19406.0589683582,8.16705160311961,40.05615640599,17.6,0.863
SVN,81.29641333333333,4.156000000000001,99.5,6.266388888888889,8.49057,25814.1687167572,9.1635402476076,61.5730716513379,20.9,0.918
SWE,82.70822333333334,2.849334,99.64899333333334,2.713,10.83224,51773.0464558993,5.19095112145897,68.6996660773915,52.9,0.947
SWZ,55.863670000000006,2.85161,76.41849333333333,59.041388888888896,8.40034,3894.32951592818,2.5777328765614,28.8575581395349,64.4,0.623
SYC,73.28452666666668,5.30875,96.2934,14.556277777777776,4.35729,19141.5118743615,11.8914212548015,73.2608695652174,1.2,0.808
SYR,69.34547333333335,0.05461200000000001,93.75087,31.947055555555558,3.94,1109.53926036049,2.02935765356522,2.84310842454937,1.0,0.564
TCD,59.382470000000005,0.210292,56.804166666666674,80.88705555555556,3.38254,678.142035723965,4.67089352057207,3.51175349428208,72.8,0.398
TGO,63.735170000000004,0.40751600000000004,69.47285666666666,75.94022222222222,5.91269,826.260654099894,1.05625997569676,22.2877367163081,78.6,0.536
THA,76.95573666666667,2.673368,99.96515333333333,15.649333333333333,3.78912,7605.69657797759,6.10403855884274,38.9692497406487,23.9,0.801
TJK,73.82153666666666,0.34316800000000003,84.67977666666667,67.56261111111111,6.94767,871.022372934846,2.13545357874309,3.0463289862382,40.1,0.668
TKM,69.12804333333332,1.144248,99.78702666666668,29.97855555555556,5.55223,6648.0348960628,14.4704012849018,8.78215904496414,0.1,0.732
TLS,68.53210333333334,0.127384,84.76273666666667,62.33866666666667,6.02679,1562.36458881813,1.59537874391308,62.0376597175521,11.7,0.627
TON,72.97295000000001,0.119506,98.84462666666667,17.525388888888887,5.42395,4676.84790348236,2.92044024264448,12.4305555555556,1.8,0.74
TTO,74.11531000000001,2.273976,98.87517,6.714777777777778,6.85251,17431.0269266696,29.3241494591216,44.5633528265107,0.4,0.813
TUN,77.52935000000001,0.63694,95.15074666666668,18.902,6.02461,3528.87213306798,3.5175002174722,4.51338825952626,12.2,0.74
TUR,77.61119666666667,0.507062,96.59603333333332,15.250222222222224,4.35954,9215.44049888114,6.86304484506071,28.6687888985616,14.1,0.842
TZA,66.78397,2.0363979999999997,60.17827,43.719944444444444,4.02387,1063.32250976563,1.35389180522529,52.1720478663355,80.4,0.533
UGA,66.07236,2.628738,59.85427666666667,56.14588888888889,3.79371,822.057058189153,1.14358639818285,11.8649012567325,90.5,0.544
UKR,72.93380333333333,2.21366,94.61076333333334,27.1095,7.09175,3619.86157226563,6.60302902357157,16.7138419054194,7.4,0.774
URY,76.95746,2.0651,98.15865666666667,5.6177777777777775,9.24069,18315.7352857194,11.6341487681348,11.4844017826534,59.3,0.818
USA,78.75224333333334,3.57304,99.55609666666668,4.789333333333333,16.66125,65604.6815198734,18.9213827225809,33.8669264120375,10.2,0.933
UZB,72.233,1.020932,95.61500333333333,51.96055555555555,5.39748,2041.38480729431,6.09818666336455,8.31637366503615,1.6,0.725
VNM,73.73867333333334,1.368322,96.36268333333334,23.061722222222222,4.97407,3440.90025375434,5.007709075749,46.4768416451573,20.4,0.717
VUT,67.29621666666667,0.664116,91.97780333333333,86.79383333333334,3.49615,3207.44650452083,2.13538366696919,36.2838392124692,31.6,0.614
WSM,70.02073333333334,0.762888,96.87101333333334,48.463166666666666,5.64749,4351.94234943706,2.71951568309658,58.3273381294964,34.2,0.712
YEM,66.95051333333333,0.007256,62.030930000000005,63.84283333333334,5.83813,623.376164898164,0.957529245195749,1.03983180862549,3.0,0.43
ZAF,65.72743666666666,2.94104,91.48466666666667,25.071444444444445,8.24653,6533.71121032856,10.1170044884124,14.0850967364334,8.7,0.741
ZMB,61.71303666666666,1.299076,68.36559666666666,60.06922222222223,6.7533,1258.98619844462,1.44891613241316,60.5365151535533,86.1,0.574
ZWE,58.99590666666666,1.11034,68.33213333333333,65.05294444444445,3.23268,1684.02790388182,1.85768557211116,45.2130024557322,81.0,0.56
